,FIPS,Countyname,ST_Name,Black,Med_HH_Inc,ICU_Capacity,State_Test,Hisp,Population_Density,AVG_VENTILATOR_USAGE,Asian,Poverty,Deaths,Confirmed,Over_65,Population,KMeans_Cluster,Hierarchical_cluster,DBSCAN_cluster,MeanShift_cluster
1492,29019,Boone,Missouri,0.1118229919580076,99.76019184652279,0.0009824423516862919,5011406,0.04270817251687696,4.8019747232696504e-05,4.571428571428571,0.05522729505550799,0.20630587640875214,86,17661,0.14792774838247885,142502.0,1,0,0,0
1493,29021,Buchanan,Missouri,0.052311322937393004,93.60812102197941,0.0002429318402665309,5011406,0.06681782425616584,4.7542361436152885e-05,3.333333333333333,0.011128591920781085,0.15147378649761695,141,9281,0.16211651473786498,86444.0,1,0,0,0
1494,29023,Butler,Missouri,0.058486323540312815,71.9694920755125,0.00022944118716400103,5011406,0.02258407254577352,1.4332219477138767e-05,4.0,0.008030441550740036,0.2313261347631637,40,4173,0.19525092041214695,40471.0,1,0,0,0
1496,29027,Callaway,Missouri,0.045689939268396026,102.663132651773,0.0,5011406,0.02212701850195377,1.1731023543385796e-05,0.5,0.008144625959229792,0.11145897085824584,47,4912,0.1674120804105268,42482.0,1,0,0,0
1497,29029,Camden,Missouri,0.008476506161281344,96.42451452371941,0.00045545406239720654,5011406,0.03142633030540725,1.33396279226004e-05,2.0,0.003517117481845095,0.15558816831557906,85,4028,0.3183623896156474,39521.0,1,0,0,0
1499,29033,Carroll,Missouri,0.012835110237035504,91.6499882800527,0.0,5011406,0.014491253493427182,3.168799074370765e-06,0.0,0.0044508850015526355,0.12245109201945968,23,1065,0.19418279681192424,9661.0,1,0,0,0
1501,29037,Cass,Missouri,0.04353842091365197,125.19247759687,9.3553132898261e-05,5011406,0.04796408766833905,3.169760386874088e-05,1.5,0.008407710588856615,0.0868867177185107,99,9039,0.18063902825455505,94675.0,1,0,0,0
1502,29039,Cedar,Missouri,0.0005180196847480204,70.9778042227872,0.0,5011406,0.023458891437874642,6.53407761237084e-06,0.5,0.002220084363205802,0.1871531118182491,20,1094,0.2424332124620736,13513.0,1,0,0,0
1506,29047,Clay,Missouri,0.06979361920037103,127.13438271938801,0.0002636351841167395,5011406,0.07961023401418385,0.00011693510335151267,3.0,0.025304836808440742,0.10855282227675896,161,9875,0.16201762352895707,206996.0,1,0,0,0
1507,29049,Clinton,Missouri,0.015105004141694684,113.054218279512,0.0002436290990595917,5011406,0.021390634897432148,1.1092302851473048e-05,2.0,0.0066267114944208935,0.09589241338985527,65,2042,0.1745846123861034,20523.0,1,0,0,0
1508,29051,Cole,Missouri,0.1258089021439424,108.303131930546,0.00030949299420404035,5011406,0.030611670699454162,4.208324776828661e-05,3.0,0.016515671599797426,0.10730966180856452,122,9075,0.17311912666704182,71084.0,1,0,0,0
1510,29055,Crawford,Missouri,0.003823441947406432,80.12477236256109,0.00025489612982709553,5011406,0.020604103827690217,7.5791487142974275e-06,2.0,0.0021666171035303115,0.15531670844131015,35,2532,0.1968222949148222,23539.0,1,0,0,0
1515,29065,Dent,Missouri,0.004326663061114115,75.9091974540668,0.0,5011406,0.01852352623039481,4.740810952203886e-06,1.0,0.0026365603028664143,0.1972011898323418,17,942,0.225730124391563,14792.0,1,0,0,0
1518,29071,Franklin,Missouri,0.007524431616790723,103.160779646959,0.00019241480581295252,5011406,0.01821864398197377,2.510268953503694e-05,4.0,0.005174945566864145,0.09667324927844448,177,10490,0.1763633601701352,98745.0,1,0,0,0
1519,29073,Gasconade,Missouri,0.003983799216519489,98.9614323578731,0.0,5011406,0.013943297257818206,6.777824283292961e-06,1.0,0.0033198326804329058,0.11094880818006772,43,1572,0.21811300710444192,15061.0,1,0,0,0
1520,29075,Gentry,Missouri,0.006293367758592868,86.1686590577162,0.0,5011406,0.017266419235113763,2.834190197673084e-06,0.0,0.005809262546393417,0.119412619009198,20,837,0.20929482007422948,6197.0,1,0,0,0
1521,29077,Greene,Missouri,0.03696899209525124,83.0962297830908,0.0008358138342959647,5011406,0.04252400007885036,9.131543054384716e-05,4.285714285714286,0.023185948865540425,0.16020027991878413,451,27843,0.1839697214610972,253645.0,1,0,0,0
1522,29079,Grundy,Missouri,0.0028417740789607225,82.2091199221074,0.0,5011406,0.02476403125951487,5.074590619077348e-06,1.0,0.0064954836090530795,0.18004668628844006,34,1009,0.2204404749822389,9853.0,1,0,0,0
1523,29081,Harrison,Missouri,0.005112712061352546,77.38230468256971,0.0,5011406,0.02265861027190332,2.653001193985244e-06,2.0,0.0019753660237043927,0.14710666976528006,14,924,0.22031141064373694,8606.0,1,0,0,0
1524,29083,Henry,Missouri,0.012403452975920036,82.571536755558,0.0001817355747387551,5011406,0.024307133121308496,7.1194971664371015e-06,1.0,0.004179918218991368,0.16942298955020446,38,2016,0.21108587005906407,22010.0,1,0,0,0
